Registro;Versão;Data;Hora;Evento;Info;Descrição;
004096;08.08;08/01/25;20:33:06;PWN Internal Log                ;_A0_03_03_03_03;????;
004097;08.08;08/01/25;20:33:29;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
004098;08.08;08/01/25;20:33:33;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
004099;08.08;08/01/25;20:33:33;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
004100;08.08;08/01/25;20:50:56;PWN Internal Log                ;_A0_03_03_03_03;????;
004101;08.08;08/01/25;20:51:19;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
004102;08.08;08/01/25;20:51:23;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
004103;08.08;08/01/25;20:51:23;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
004104;08.08;08/01/25;21:08:45;PWN Internal Log                ;_A0_03_03_03_03;????;
004105;08.08;08/01/25;21:09:08;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
004106;08.08;08/01/25;21:09:12;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
004107;08.08;08/01/25;21:09:12;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
004108;08.08;08/01/25;21:26:35;PWN Internal Log                ;_A0_03_03_03_03;????;
004109;08.08;08/01/25;21:26:58;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
004110;08.08;08/01/25;21:27:02;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
004111;08.08;08/01/25;21:27:02;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
004112;08.08;08/01/25;21:44:25;PWN Internal Log                ;_A0_03_03_03_03;????;
004113;08.08;08/01/25;21:44:48;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
004114;08.08;08/01/25;21:44:51;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
004115;08.08;08/01/25;21:44:52;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
004116;08.08;08/01/25;22:02:14;PWN Internal Log                ;_A0_03_03_03_03;????;
004117;08.08;08/01/25;22:02:37;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
004118;08.08;08/01/25;22:02:41;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
004119;08.08;08/01/25;22:02:41;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
004120;08.08;08/01/25;22:20:04;PWN Internal Log                ;_A0_03_03_03_03;????;
004121;08.08;08/01/25;22:20:27;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
004122;08.08;08/01/25;22:20:31;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
004123;08.08;08/01/25;22:20:31;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
004124;08.08;08/01/25;22:37:54;PWN Internal Log                ;_A0_03_03_03_03;????;
004125;08.08;08/01/25;22:38:17;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
004126;08.08;08/01/25;22:38:20;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
004127;08.08;08/01/25;22:38:21;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
004128;08.08;08/01/25;22:55:43;PWN Internal Log                ;_A0_03_03_03_03;????;
004129;08.08;08/01/25;22:56:06;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
004130;08.08;08/01/25;22:56:10;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
004131;08.08;08/01/25;22:56:10;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
004132;08.08;08/01/25;23:13:33;PWN Internal Log                ;_A0_03_03_03_03;????;
004133;08.08;08/01/25;23:13:56;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
